Ref,Oxy ID,Status,First,Last,Preferred,Preferred Gender Pronouns optional,Oxy_Major,Minors_Spec_Prepro_Programs
136811959,A01213904,First Year,Asia,Serrano,Asia,,"Biochemistry, Biology","3/2 Engineering Program (with CalTech or Columbia), Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
419229216,A01207008,First Year,Finnegan,Callahan,Finnegan,"She, Her","Biochemistry, Biology, Chemistry",
734157990,A01207884,First Year,Willow,Daniels,Willow,,"Biochemistry, Biology, Chemistry","Education Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
799667823,A01207296,First Year,Kathy,Rich,Kathy,,"Biochemistry, Biology, Chemistry",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
833030494,A01208990,First Year,Darnell,Ortiz,Darnell,,"Biochemistry, Biology, Chemistry","3/2 Engineering Program (with CalTech or Columbia), Neuroscience Minor"
951435839,A01210419,First Year,Travis,Doyle,Travis,,"Biochemistry, Biology, Chemistry",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
145979858,A01208279,First Year,Zion,Aguirre,Zion,,"Biochemistry, Biology, Chemistry",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
422310595,A01208578,First Year,Donte,Orozco,Donte,,"Biochemistry, Biology, Chemistry","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
887546143,A01213748,First Year,Nikolai,Jarvis,Nikolai,he/him/his,"Biochemistry, Biology, Chemistry","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
739213373,A01213088,First Year,Heaven,Morrow,Heaven,,"Biochemistry, Biology, Chemistry",
486917596,A01206668,First Year,Izaiah,Herrera,Izaiah,,"Biochemistry, Biology, Chemistry",
21768961,A01206309,First Year,Adriel,Mclean,Adriel,,"Biochemistry, Biology, Diplomacy & World Affairs","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
27588145,A01199064,First Year,Lyric,Hinton,Lyric,she,"Biochemistry, Biology, Diplomacy & World Affairs","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
817649688,A01213910,First Year,Josephine,Mosley,Josephine,She,"Biochemistry, Biology, Economics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
38377382,A01211078,First Year,Braden,Roach,Braden,he/him/his,"Biochemistry, Biology, Economics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
828834289,A01209804,First Year,Hailie,Lambert,Hailie,,"Biochemistry, Biology, Kinesiology","3/2 Engineering Program (with CalTech or Columbia), Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
605531494,A01208157,First Year,Corey,Hatfield,Corey,,"Biochemistry, Biology, Kinesiology",Neuroscience Minor
106600268,A01207413,First Year,Salvatore,Curtis,Salvatore,,"Biochemistry, Biology, Mathematics",3/2 Engineering Program (with CalTech or Columbia)
567876061,A01209731,First Year,Cindy,Mullins,Cindy,,"Biochemistry, Biology, Physics","3/2 Engineering Program (with CalTech or Columbia), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
745196589,A01206645,First Year,Anthony,Saunders,Anthony,she/her/hers,"Biochemistry, Biology, Psychology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
157534670,A01210289,First Year,Ayana,Medina,Ayana,,"Biochemistry, Biology, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Linguistics Minor, Neuroscience Minor"
790805070,A01208247,First Year,Juliet,David,Juliet,,"Biochemistry, Chemistry","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
465713383,A01207689,Transfer,Heath,Joyce,Heath,,"Biochemistry, Chemistry, Psychology","3/2 Engineering Program (with CalTech or Columbia), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
833908932,A01194687,First Year,Abdiel,Schwartz,Abdiel,she/her,"Biochemistry, Diplomacy & World Affairs, Theater","Gender, Women, and Sexuality Studies Minor, Linguistics Minor"
74797713,A01208653,First Year,Zechariah,Vaughn,Zechariah,,"Biochemistry, Kinesiology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
911249041,A01212227,First Year,Teagan,Mckinney,Teagan,her/ she,"Biochemistry, Kinesiology, Mathematics","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
520159541,A01211422,First Year,Rocco,Bruce,Rocco,She/Her,"Biochemistry, Kinesiology, Physics",3/2 Engineering Program (with CalTech or Columbia)
726735121,A01208928,First Year,Yael,Ball,Yael,,"Biochemistry, Mathematics, Media Arts & Culture","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Environmental Science Concentration (Biology or Geology)"
481803482,A01206661,First Year,Heather,Conway,Heather,,Biology,Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
529705906,A01206890,First Year,Charles,Wilcox,Charles,,Biology,Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
500276365,A01213322,First Year,William,Love,William,she/her,Biology,
288894056,A01210157,First Year,Urijah,Chaney,Urijah,,Biology,3/2 Engineering Program (with CalTech or Columbia)
557745873,A01207335,First Year,Madeleine,Forbes,Madeleine,,Biology,"Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
503682886,A01206862,First Year,Chace,Weaver,Chace,,Biology,"Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
626616665,A01211297,First Year,Kendal,Peters,Kendal,,Biology,Environmental Science Concentration (Biology or Geology)
547599281,A01207710,First Year,Roger,Weeks,Roger,she/her,Biology,Environmental Science Concentration (Biology or Geology)
755415553,A01200702,First Year,Harold,Drake,Harold,She/Her,Biology,Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
216936575,A01207460,First Year,Tanya,Guerra,Tanya,she/her,Biology,Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
339554457,A01210720,First Year,Cole,Henderson,Cole,He/Him,"Biology, Chemistry, Cognitive Science","Education Minor, Environmental Science Concentration (Biology or Geology), Linguistics Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
551918056,A01208726,First Year,Demetrius,Mcmillan,Demetrius,,"Biology, Chemistry, Psychology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
137864500,A01212988,First Year,Chris,Farrell,Chris,,"Biology, Cognitive Science",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
953594035,A01209537,First Year,Gina,Berg,Gina,"He, His","Biology, Cognitive Science",Neuroscience Minor
564353057,A01209894,First Year,August,Hunter,August,,"Biology, Cognitive Science, Diplomacy & World Affairs","3/2 Engineering Program (with CalTech or Columbia), Linguistics Minor, Neuroscience Minor"
508880613,A01208690,First Year,Selena,Booker,Selena,She/Her,"Biology, Cognitive Science, Politics","Environmental Science Concentration (Biology or Geology), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
465224741,A01208379,Transfer,Zachariah,Mcintyre,Zachariah,He/Him,"Biology, Cognitive Science, Psychology","Environmental Science Concentration (Biology or Geology), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
178673328,A01208522,First Year,Tristin,Tyler,Tristin,,"Biology, Cognitive Science, Psychology","Gender, Women, and Sexuality Studies Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
993585311,A01206664,First Year,Karson,Coleman,Karson,,"Biology, Cognitive Science, Psychology",Neuroscience Minor
570826708,A01213484,First Year,Darien,Berry,Darien,,"Biology, Cognitive Science, Psychology","Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
459572886,A01209072,First Year,Lizeth,Vincent,Lizeth,,"Biology, Cognitive Science, Psychology","Gender, Women, and Sexuality Studies Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
851331792,A01195008,First Year,Marquis,Malone,Marquis,,"Biology, Comparative Studies in Literature & Culture, Diplomacy & World Affairs","3/2 Engineering Program (with CalTech or Columbia), Classical Studies Minor, Neuroscience Minor"
994727231,A01193420,First Year,Dominik,Schneider,Dominik,,"Biology, Critical Theory & Social Justice, Psychology","Neuroscience Minor, Public Health Minor"
76928504,A01212019,Transfer,Kiera,Macias,Kiera,,"Biology, Critical Theory & Social Justice, Urban & Environmental Policy","Computer Science Minor, Environmental Science Concentration (Biology or Geology), Public Health Minor"
940837588,A01208763,First Year,Cassie,Browning,Cassie,,"Biology, Diplomacy & World Affairs","Gender, Women, and Sexuality Studies Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
8217966,A01207348,First Year,Elvis,Nielsen,Elvis,he/him,"Biology, Diplomacy & World Affairs, Economics","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising"
886761935,A01206406,First Year,Raphael,Murillo,Raphael,,"Biology, Diplomacy & World Affairs, English","Interdisciplinary Writing Minor, Linguistics Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
347297684,A01209968,First Year,Anya,Solomon,Anya,,"Biology, Diplomacy & World Affairs, History","Linguistics Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
469554706,A01207958,First Year,Sandra,Ross,Sandra,,"Biology, Diplomacy & World Affairs, Kinesiology","Environmental Science Concentration (Biology or Geology), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
864238003,A01208221,First Year,Tristan,Franklin,Tristan,,"Biology, Diplomacy & World Affairs, Kinesiology","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
407029117,A01211528,First Year,Ernesto,Sullivan,Ernesto,"He, Him, His","Biology, Diplomacy & World Affairs, Media Arts & Culture","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
6648340,A01211924,First Year,Alfonso,Cardenas,Alfonso,,"Biology, Diplomacy & World Affairs, Politics","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising"
474817777,A01209134,First Year,Kendra,Welch,Kendra,,"Biology, Diplomacy & World Affairs, Urban & Environmental Policy","3/2 Engineering Program (with CalTech or Columbia), Environmental Science Concentration (Biology or Geology)"
302518479,A01206860,First Year,Peyton,Maddox,Peyton,She/hers,"Biology, Economics",Neuroscience Minor
414798217,A01206358,First Year,Jasper,Ellison,Jasper,,"Biology, Economics, Geology","Environmental Science Concentration (Biology or Geology), Public Health Minor"
734271052,A01210461,First Year,Alison,Chase,Alison,,"Biology, Economics, Mathematics",3/2 Engineering Program (with CalTech or Columbia)
51090080,A01209739,First Year,Destinee,Mccoy,Destinee,,"Biology, Economics, Politics",3/2 Engineering Program (with CalTech or Columbia)
812694163,A01207998,First Year,Angelique,Kline,Angelique,,"Biology, English, Psychology",Neuroscience Minor
841700969,A01206872,First Year,Neil,Bass,Neil,,"Biology, English, Psychology","Environmental Science Concentration (Biology or Geology), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
76437012,A01213401,First Year,Cael,Stephenson,Cael,,"Biology, English, Sociology","Education Minor, Environmental Science Concentration (Biology or Geology), Interdisciplinary Writing Minor, Neuroscience Minor"
38422904,A01208659,First Year,Lucy,Kelly,Lucy,,"Biology, English, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor"
515980646,A01210738,First Year,Roselyn,Harmon,Roselyn,,"Biology, Geology, Physics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor"
125883524,A01206874,First Year,Clara,Holder,Clara,,"Biology, Geology, Urban & Environmental Policy",Environmental Science Concentration (Biology or Geology)
729048170,A01210439,First Year,Viviana,Sosa,Viviana,he/him,"Biology, Geology, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Interdisciplinary Writing Minor"
188851664,A01211036,First Year,Marcos,Spence,Marcos,,"Biology, Group Language, Sociology","Classical Studies Minor, Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor, German Minor, Interdisciplinary Writing Minor, Linguistics Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
766718011,A01209283,First Year,Hamza,Gonzalez,Hamza,,"Biology, History, Psychology","Gender, Women, and Sexuality Studies Minor"
569142092,A01211000,First Year,Hayley,Moses,Hayley,,"Biology, Kinesiology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
396029205,A01209688,First Year,Cheyenne,Maynard,Cheyenne,She/her,"Biology, Kinesiology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
175664315,A01207303,First Year,Isiah,Simmons,Isiah,,"Biology, Kinesiology, Mathematics","Education Minor, Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
83394296,A01208397,First Year,Brendan,Wagner,Brendan,She/Her,"Biology, Kinesiology, Music","Classical Studies Minor, Computer Science Minor, Gender, Women, and Sexuality Studies Minor, Neuroscience Minor"
628678348,A01208866,Transfer,Kolten,Morrison,Kolten,,"Biology, Kinesiology, Psychology","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
113270202,A01208330,First Year,Ruben,Mccann,Ruben,,"Biology, Kinesiology, Psychology","Education Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
948855061,A01196203,First Year,Emmy,Phelps,Emmy,,"Biology, Kinesiology, Psychology","Gender, Women, and Sexuality Studies Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
957629818,A01208044,First Year,Aimee,Cervantes,Aimee,,"Biology, Kinesiology, Urban & Environmental Policy",Pre-Law Advising
296476739,A01208965,First Year,Tessa,Hendrix,Tessa,,"Biology, Media Arts & Culture",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
400873639,A01207275,First Year,Bo,Le,Bo,"He, Him","Biology, Media Arts & Culture, Music","Environmental Science Concentration (Biology or Geology), Interdisciplinary Writing Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
487471519,A01207429,First Year,Zayden,Fuller,Zayden,,"Biology, Politics, Psychology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
726988879,A01211816,First Year,Andre,Wells,Andre,,"Biology, Politics, Urban & Environmental Policy","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
926858604,A01213103,First Year,Rose,Christensen,Rose,,"Biology, Politics, Urban & Environmental Policy","Computer Science Minor, Environmental Science Concentration (Biology or Geology)"
414943550,A01208478,First Year,Zander,House,Zander,,"Biology, Psychology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
510369577,A01208777,First Year,Rebekah,Baird,Rebekah,,"Biology, Psychology",Environmental Science Concentration (Biology or Geology)
878554056,A01212099,First Year,Felipe,Wang,Felipe,"she, her","Biology, Psychology, Sociology","Environmental Science Concentration (Biology or Geology), Pre-Law Advising"
726494271,A01206411,First Year,Aliyah,Chavez,Aliyah,,"Biology, Psychology, Theater","Interdisciplinary Writing Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
884077924,A01208601,First Year,Jane,Jackson,Jane,,"Biology, Psychology, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor"
125221073,A01208897,First Year,Piper,Townsend,Piper,"she,her","Biology, Religious Studies, Theater",Pre-Law Advising
95035868,A01208879,Transfer,Jayla,Li,Jayla,,"Biology, Sociology","Gender, Women, and Sexuality Studies Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
719061983,A01211563,Transfer,Tyrese,Mcgrath,Tyrese,,"Biology, Urban & Environmental Policy","3/2 Engineering Program (with CalTech or Columbia), Environmental Science Concentration (Biology or Geology)"
607286399,A01210876,First Year,Athena,Parker,Athena,,"Biology, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
209643374,A01209995,First Year,Lauren,Swanson,Lauren,,"Chemistry, Cognitive Science, Media Arts & Culture","Gender, Women, and Sexuality Studies Minor"
220652816,A01211854,First Year,Makai,Andersen,Makai,she/her/hers,"Chemistry, Cognitive Science, Psychology",Neuroscience Minor
32776150,A01212981,First Year,Carlos,Moran,Carlos,,"Chemistry, Economics, Kinesiology","Gender, Women, and Sexuality Studies Minor"
915511507,A01210069,First Year,Bryant,Dickerson,Bryant,,"Chemistry, Kinesiology, Physics","3/2 Engineering Program (with CalTech or Columbia), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
531933152,A01211485,First Year,Annabella,Hebert,Annabella,,"Chemistry, Latino/a and Latin American Studies, Psychology","Education Minor, Gender, Women, and Sexuality Studies Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
635231267,A01206665,First Year,Miranda,Arias,Miranda,,"Chemistry, Mathematics","3/2 Engineering Program (with CalTech or Columbia), Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
108388563,A01179790,First Year,Mariela,Bryant,Mariela,,"Chemistry, Mathematics",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
107236499,A01211736,First Year,Cohen,Walsh,Cohen,,"Chemistry, Music",
506982937,A01209396,First Year,Jayce,Mcclain,Jayce,,"Chemistry, Physics, Spanish",3/2 Engineering Program (with CalTech or Columbia)
707898997,A01211712,First Year,Immanuel,Whitehead,Immanuel,,"Chinese, Comparative Studies in Literature & Culture, Group Language","Education Minor, German Minor, Linguistics Minor"
300369370,A01211380,First Year,Devon,George,Devon,,"Chinese, Diplomacy & World Affairs, Group Language",
456659226,A01211590,First Year,Kareem,Benitez,Kareem,,"Chinese, Diplomacy & World Affairs, Media Arts & Culture","Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor, Linguistics Minor"
477022764,A01211991,First Year,Emely,Clayton,Emely,,Cognitive Science,"Classical Studies Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
984670767,A01209277,First Year,Rogelio,Gould,Rogelio,,Cognitive Science,"3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
437980437,A01208607,First Year,Allie,Castro,Allie,,"Cognitive Science, Comparative Studies in Literature & Culture, Religious Studies",Linguistics Minor
318148242,A01206677,First Year,Richard,Cook,Richard,,"Cognitive Science, Critical Theory & Social Justice, Psychology","Computer Science Minor, Neuroscience Minor"
511809786,A01208176,First Year,Emmanuel,Craig,Emmanuel,,"Cognitive Science, Critical Theory & Social Justice, Psychology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
50601044,A01207983,First Year,Maverick,Leach,Maverick,,"Cognitive Science, Diplomacy & World Affairs","3/2 Engineering Program (with CalTech or Columbia), Classical Studies Minor, Computer Science Minor, Linguistics Minor, Neuroscience Minor, Pre-Law Advising"
391641066,A01206775,First Year,Serenity,Moyer,Serenity,,"Cognitive Science, Diplomacy & World Affairs, Politics","Linguistics Minor, Pre-Law Advising"
562092676,A01212200,First Year,Glenn,Nixon,Glenn,,"Cognitive Science, Diplomacy & World Affairs, Politics","Linguistics Minor, Pre-Law Advising"
115379088,A01210949,First Year,Jovan,Shelton,Jovan,,"Cognitive Science, Economics, Kinesiology",Computer Science Minor
538195170,A01211325,First Year,Willie,Cortez,Willie,male,"Cognitive Science, Economics, Psychology","Computer Science Minor, Neuroscience Minor"
535348087,A01211466,First Year,Sean,Hutchinson,Sean,,"Cognitive Science, Economics, Psychology","Education Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising"
467857970,A01209383,First Year,Santos,Stuart,Santos,,"Cognitive Science, English, Sociology",Linguistics Minor
395359338,A01209556,First Year,Messiah,Skinner,Messiah,,"Cognitive Science, French, Psychology","Linguistics Minor, Neuroscience Minor"
43386673,A01198546,First Year,Kinley,Oneill,Kinley,,"Cognitive Science, Geology, Psychology","3/2 Engineering Program (with CalTech or Columbia), Classical Studies Minor, Environmental Science Concentration (Biology or Geology), Neuroscience Minor"
573853797,A01209673,First Year,Eliza,Fischer,Eliza,,"Cognitive Science, Group Language, Urban & Environmental Policy","Gender, Women, and Sexuality Studies Minor, Linguistics Minor, Public Health Minor"
456244637,A01212674,Transfer,Kash,Ramirez,Kash,,"Cognitive Science, Kinesiology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
21344293,A01206284,First Year,Frank,Young,Frank,she/her/hers,"Cognitive Science, Kinesiology, Psychology","Computer Science Minor, Linguistics Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
386904573,A01206878,First Year,Savannah,Monroe,Savannah,,"Cognitive Science, Kinesiology, Psychology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
871636903,A01206880,First Year,Laylah,Moore,Laylah,him/he,"Cognitive Science, Mathematics, Theater","3/2 Engineering Program (with CalTech or Columbia), Classical Studies Minor, Computer Science Minor, Interdisciplinary Writing Minor, Neuroscience Minor"
604875867,A01206371,First Year,Gerald,Gaines,Gerald,,"Cognitive Science, Media Arts & Culture, Psychology","Computer Science Minor, Neuroscience Minor"
128132632,A01213873,First Year,Gloria,Jimenez,Gloria,she/her/hers,"Cognitive Science, Media Arts & Culture, Psychology",
469394516,A01209488,First Year,Desirae,Barrett,Desirae,,"Cognitive Science, Media Arts & Culture, Psychology","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
92609637,A01209031,First Year,Makenzie,Santiago,Makenzie,,"Cognitive Science, Media Arts & Culture, Sociology",Computer Science Minor
575160921,A01208421,First Year,Jessie,Buck,Jessie,,"Cognitive Science, Media Arts & Culture, Theater","Linguistics Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
981293136,A01206755,First Year,Sienna,Ford,Sienna,She/Her,"Cognitive Science, Media Arts & Culture, Theater",Interdisciplinary Writing Minor
